############################################################################################################
# This is the online data table for the paper H. Li et. al (2017, in prep)
# "SDSS-IV MaNGA: Discovery and properties of 38 galaxies with minor-axis rotation"
#
# Table title: MaNGAID, ra dec and parameters for the galaxies in Control M^*_{ALL} sample
############################################################################################################
#  MaNGA ID  |    Ra    |    Dec   |  logM^*  |   Sigma  |Delta g-i|   Eps   |lambda_Re|logRe^maj|M^T_{1/2}|
#            |          |          |  M_sun   |L_sun/pc^2|         |         |         |  (kpc)  |  M_sun  |
#     (1)    |    (2)   |    (3)   |   (4)    |    (5)   |   (6)   |   (7)   |    (8)  |   (9)   |   (10)  |
############################################################################################################
1-121717      118.80343   35.59680    11.14       2.15      0.34      0.59      0.70      1.28      11.96  
1-197063      212.95600   52.81671    11.41       2.51      -0.05     0.10      0.04      1.05      11.96  
1-405986      204.91204   27.40459    10.90       2.38      0.23      0.03      0.16      0.75      11.39  
1-236106      225.20350   41.16077    11.22       2.57      0.11      0.37      0.38      0.96      11.75  
1-591006      193.57923   27.06802    11.53       2.63      -0.05     0.30      0.25      1.06      11.80  
1-177135      255.63810   33.51664    11.67       2.41      0.03      0.11      0.06      1.20      12.28  
1-90192       233.71260   56.45108    11.19       2.65      0.02      0.10      0.07      0.85      11.51  
1-173903      166.31194   49.65891    11.29       2.70      0.02      0.02      0.08      0.86      11.69  
1-548172      118.62325   51.46766    11.08       2.33      0.12      0.01      0.16      1.02      11.82  
1-48053       132.59502   55.37874    11.24       2.62      0.04      0.40      0.07      0.93      11.67  
1-210614      244.50176   41.39219    11.39       2.17      0.02      0.30      0.11      1.20      11.91  
1-246177      219.47724   52.97852    11.30       2.35      0.10      0.11      0.19      1.08      11.87  
1-24293       262.68691   56.35198    10.95       2.78      0.09      0.59      0.56      0.81      11.27  
1-266074      214.06021   43.92293    11.45       2.00      0.08      0.25      0.06      1.34      12.04  
1-289864      322.21234   1.25827     11.41       2.49      0.06      0.41      0.14      1.08      11.92  
1-394355      157.69374   36.95462    11.07       2.57      0.07      0.17      0.15      0.84      11.42  
1-613755      169.30037   46.85987    11.17       2.79      0.05      0.35      0.37      0.86      11.59  
